XIMENA,23103
FEBRES CORDERO,9773
URDANETA,1265
LETAMENDI,3161
GARCIA MORENO,1424
AYACUCHO,634
SUCRE,318
BOLIVAR SAGRARIO,191
OLMEDO,256
9 DE OCTUBRE,60
ROCAFUERTE,189
CARBO,138
SAUCES,1235
GARZOTA,13
ALBORADA,440
URDESA,154
SAMANES,141
ACUARELA DEL RIO,14
GUAYACANES,236
INTERAGUA,0
BRISAS DEL NORTE,34
BRISAS DEL RIO,14
KENNEDY,67
URDENOR,103
JUAN PABLO II,10
HUANCAVILCA NORTE,4
LIMONAL,59
METROVIA RIO DAULE,1
IETEL,24
LUIS VERNAZA,33
ADACE,8
SIMON BOLIVAR,29
AEROPUERTO,0
BASE NAVAL NORTE,0
RIO GUAYAS,0
FAE,32
TERMINAL TERRESTRE,21
BELLA AURORA,2
ALAMOS,13
ATARAZANA,208
NAVAL NORTE,28
PUERTO SANTA ANA,130
BOLIVARIANA,97
VERGELES,188
ORQUIDEAS,214
MUCHO LOTE II,78
CIUDAD DEL RIO,57
METROPOLIS,91
MUCHO LOTE I,556
PASCUALES,284
BASTION POPULAR,641
FLOR DE BASTION,792
QUINTO GUAYAS,1
FORTIN,307
NUEVA PROSPERINA,401
MONTEBELLO,67
INMACONSA,46
FLORIDA,1012
PROSPERINA,548
MAPASINGUE,777
SAN FELIPE,205
ALAMOS,13
CONDOR,27
ROSALES,33
MIRADOR DEL NORTE,7
PARQUE INDUSTRIAL ALBORADA,1
JUAN MONTALVO,454
LAS CUMBRES,9
SANTA CECILIA,20
LOS CEIBOS,58
JARDINES DEL SALADO,166
EL PARAISO,41
FERROVIARIA,234
BELLAVISTA,246
SAN EDUARDO,168
INFANTERIA DE MARINA,1
MIRAFLORES,42
CHONGON,375
