XIMENA,5354
FEBRES CORDERO,2099
URDANETA,331
LETAMENDI,825
GARCIA MORENO,346
AYACUCHO,203
SUCRE,68
BOLIVAR SAGRARIO,57
OLMEDO,64
9 DE OCTUBRE,10
ROCAFUERTE,38
CARBO,28
SAUCES,271
GARZOTA,2
ALBORADA,94
URDESA,36
SAMANES,22
ACUARELA DEL RIO,1
GUAYACANES,52
INTERAGUA,0
BRISAS DEL NORTE,4
BRISAS DEL RIO,2
KENNEDY,17
URDENOR,9
JUAN PABLO II,0
HUANCAVILCA NORTE,1
LIMONAL,16
METROVIA RIO DAULE,0
IETEL,10
LUIS VERNAZA,17
ADACE,7
SIMON BOLIVAR,0
AEROPUERTO,0
BASE NAVAL NORTE,0
RIO GUAYAS,0
FAE,0
TERMINAL TERRESTRE,0
BELLA AURORA,0
ALAMOS,5
ATARAZANA,56
NAVAL NORTE,5
PUERTO SANTA ANA,43
BOLIVARIANA,20
VERGELES,27
ORQUIDEAS,46
MUCHO LOTE II,17
CIUDAD DEL RIO,16
METROPOLIS,15
MUCHO LOTE I,93
PASCUALES,34
BASTION POPULAR,91
FLOR DE BASTION,107
QUINTO GUAYAS,0
FORTIN,41
NUEVA PROSPERINA,57
MONTEBELLO,10
INMACONSA,6
FLORIDA,183
PROSPERINA,112
MAPASINGUE,135
SAN FELIPE,22
ALAMOS,5
CONDOR,12
ROSALES,13
MIRADOR DEL NORTE,0
PARQUE INDUSTRIAL ALBORADA,0
JUAN MONTALVO,73
LAS CUMBRES,0
SANTA CECILIA,4
LOS CEIBOS,15
JARDINES DEL SALADO,28
EL PARAISO,5
FERROVIARIA,49
BELLAVISTA,49
SAN EDUARDO,35
INFANTERIA DE MARINA,0
MIRAFLORES,3
CHONGON,67
